@relation madfhantr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V_predicted

@attribute Loan_ID {LP001002,LP001003,LP001005,LP001006,LP001008,LP001011,LP001013,LP001014,LP001018,LP001020,LP001024,LP001027,LP001028,LP001029,LP001030,LP001032,LP001034,LP001036,LP001038,LP001041,LP001043,LP001046,LP001047,LP001050,LP001052,LP001066,LP001068,LP001073,LP001086,LP001087,LP001091,LP001095,LP001097,LP001098,LP001100,LP001106,LP001109,LP001112,LP001114,LP001116,LP001119,LP001120,LP001123,LP001131,LP001136,LP001137,LP001138,LP001144,LP001146,LP001151,LP001155,LP001157,LP001164,LP001179,LP001186,LP001194,LP001195,LP001197,LP001198,LP001199,LP001205,LP001206,LP001207,LP001213,LP001222,LP001225,LP001228,LP001233,LP001238,LP001241,LP001243,LP001245,LP001248,LP001250,LP001253,LP001255,LP001256,LP001259,LP001263,LP001264,LP001265,LP001266,LP001267,LP001273,LP001275,LP001279,LP001280,LP001282,LP001289,LP001310,LP001316,LP001318,LP001319,LP001322,LP001325,LP001326,LP001327,LP001333,LP001334,LP001343,LP001345,LP001349,LP001350,LP001356,LP001357,LP001367,LP001369,LP001370,LP001379,LP001384,LP001385,LP001387,LP001391,LP001392,LP001398,LP001401,LP001404,LP001405,LP001421,LP001422,LP001426,LP001430,LP001431,LP001432,LP001439,LP001443,LP001448,LP001449,LP001451,LP001465,LP001469,LP001473,LP001478,LP001482,LP001487,LP001488,LP001489,LP001491,LP001492,LP001493,LP001497,LP001498,LP001504,LP001507,LP001508,LP001514,LP001516,LP001518,LP001519,LP001520,LP001528,LP001529,LP001531,LP001532,LP001535,LP001536,LP001541,LP001543,LP001546,LP001552,LP001560,LP001562,LP001565,LP001570,LP001572,LP001574,LP001577,LP001578,LP001579,LP001580,LP001581,LP001585,LP001586,LP001594,LP001603,LP001606,LP001608,LP001610,LP001616,LP001630,LP001633,LP001634,LP001636,LP001637,LP001639,LP001640,LP001641,LP001643,LP001644,LP001647,LP001653,LP001656,LP001657,LP001658,LP001664,LP001665,LP001666,LP001669,LP001671,LP001673,LP001674,LP001677,LP001682,LP001688,LP001691,LP001692,LP001693,LP001698,LP001699,LP001702,LP001708,LP001711,LP001713,LP001715,LP001716,LP001720,LP001722,LP001726,LP001732,LP001734,LP001736,LP001743,LP001744,LP001749,LP001750,LP001751,LP001754,LP001758,LP001760,LP001761,LP001765,LP001768,LP001770,LP001776,LP001778,LP001784,LP001786,LP001788,LP001790,LP001792,LP001798,LP001800,LP001806,LP001807,LP001811,LP001813,LP001814,LP001819,LP001824,LP001825,LP001835,LP001836,LP001841,LP001843,LP001844,LP001846,LP001849,LP001854,LP001859,LP001864,LP001865,LP001868,LP001870,LP001871,LP001872,LP001875,LP001877,LP001882,LP001883,LP001884,LP001888,LP001891,LP001892,LP001894,LP001896,LP001900,LP001903,LP001904,LP001907,LP001908,LP001910,LP001914,LP001915,LP001917,LP001922,LP001924,LP001925,LP001926,LP001931,LP001935,LP001936,LP001938,LP001940,LP001945,LP001947,LP001949,LP001953,LP001954,LP001955,LP001963,LP001964,LP001972,LP001974,LP001977,LP001978,LP001990,LP001993,LP001994,LP001996,LP001998,LP002002,LP002004,LP002006,LP002008,LP002024,LP002031,LP002035,LP002036,LP002043,LP002050,LP002051,LP002053,LP002054,LP002055,LP002065,LP002067,LP002068,LP002082,LP002086,LP002087,LP002097,LP002098,LP002100,LP002101,LP002103,LP002106,LP002110,LP002112,LP002113,LP002114,LP002115,LP002116,LP002119,LP002126,LP002128,LP002129,LP002130,LP002131,LP002137,LP002138,LP002139,LP002140,LP002141,LP002142,LP002143,LP002144,LP002149,LP002151,LP002158,LP002160,LP002161,LP002170,LP002175,LP002178,LP002180,LP002181,LP002187,LP002188,LP002190,LP002191,LP002194,LP002197,LP002201,LP002205,LP002209,LP002211,LP002219,LP002223,LP002224,LP002225,LP002226,LP002229,LP002231,LP002234,LP002236,LP002237,LP002239,LP002243,LP002244,LP002250,LP002255,LP002262,LP002263,LP002265,LP002266,LP002272,LP002277,LP002281,LP002284,LP002287,LP002288,LP002296,LP002297,LP002300,LP002301,LP002305,LP002308,LP002314,LP002315,LP002317,LP002318,LP002319,LP002328,LP002332,LP002335,LP002337,LP002341,LP002342,LP002345,LP002347,LP002348,LP002357,LP002361,LP002362,LP002364,LP002366,LP002367,LP002368,LP002369,LP002370,LP002377,LP002379,LP002386,LP002387,LP002390,LP002393,LP002398,LP002401,LP002403,LP002407,LP002408,LP002409,LP002418,LP002422,LP002424,LP002429,LP002434,LP002435,LP002443,LP002444,LP002446,LP002447,LP002448,LP002449,LP002453,LP002455,LP002459,LP002467,LP002472,LP002473,LP002478,LP002484,LP002487,LP002489,LP002493,LP002494,LP002500,LP002501,LP002502,LP002505,LP002515,LP002517,LP002519,LP002522,LP002524,LP002527,LP002529,LP002530,LP002531,LP002533,LP002534,LP002536,LP002537,LP002541,LP002543,LP002544,LP002545,LP002547,LP002555,LP002556,LP002560,LP002562,LP002571,LP002582,LP002585,LP002586,LP002587,LP002588,LP002600,LP002602,LP002603,LP002606,LP002615,LP002618,LP002619,LP002622,LP002624,LP002625,LP002626,LP002634,LP002637,LP002640,LP002643,LP002648,LP002652,LP002659,LP002670,LP002682,LP002683,LP002684,LP002689,LP002690,LP002692,LP002693,LP002697,LP002699,LP002705,LP002706,LP002714,LP002716,LP002717,LP002720,LP002723,LP002729,LP002731,LP002732,LP002734,LP002738,LP002739,LP002740,LP002741,LP002743,LP002753,LP002755,LP002757,LP002767,LP002768,LP002772,LP002776,LP002777,LP002778,LP002784,LP002785,LP002788,LP002789,LP002792,LP002794,LP002795,LP002798,LP002804,LP002807,LP002813,LP002820,LP002821,LP002832,LP002833,LP002836,LP002837,LP002840,LP002841,LP002842,LP002847,LP002855,LP002862,LP002863,LP002868,LP002872,LP002874,LP002877,LP002888,LP002892,LP002893,LP002894,LP002898,LP002911,LP002912,LP002916,LP002917,LP002925,LP002926,LP002928,LP002931,LP002933,LP002936,LP002938,LP002940,LP002941,LP002943,LP002945,LP002948,LP002949,LP002950,LP002953,LP002958,LP002959,LP002960,LP002961,LP002964,LP002974,LP002978,LP002979,LP002983,LP002984,LP002990}
@attribute Gender numeric
@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History numeric
@attribute Property_Area numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Loan_Status' {Y,N}
@attribute Loan_Status {Y,N}

@data
LP001488,1,1,2,1,0,4000,7750,290,360,1,0,1,N,N
LP002300,0,0,0,0,0,1963,0,53,360,1,0,0.714286,Y,Y
LP002314,0,0,0,0,0,2213,0,66,360,1,1,0.428571,Y,Y
LP001713,1,1,1,1,1,7787,0,240,360,1,0,0.714286,Y,Y
LP001579,1,0,0,1,0,2237,0,63,480,0,0,0.869565,N,N
LP002244,1,1,0,1,0,2333,2417,136,360,1,0,0.714286,Y,Y
LP002637,1,0,0,0,0,3598,1287,100,360,1,1,-0.563636,Y,N
LP002868,1,1,2,1,0,3159,461,108,84,1,0,0.714286,Y,Y
LP002940,1,0,0,0,0,3833,0,110,360,1,1,0.563636,Y,Y
LP001518,1,1,1,1,0,1538,1425,30,360,1,0,0.714286,Y,Y
LP001910,1,0,1,0,1,4053,2426,158,360,0,0,0.869565,N,N
LP001119,1,0,0,1,0,3600,0,80,360,1,0,-0.714286,Y,N
LP002170,1,1,2,1,0,5000,3667,236,360,1,0,0.714286,Y,Y
LP002103,0.813644,1,1,1,1,9833,1833,182,180,1,0,0.714286,Y,Y
LP002926,1,1,2,1,1,2726,0,106,360,0,0,0.869565,N,N
LP002978,0,0,0,1,0,2900,0,71,360,1,1,0.428571,Y,Y
LP002141,1,1,2,1,0,2666,2083,95,360,1,1,0.563636,Y,Y
LP002087,0,0,0,1,0,2500,0,67,360,1,0,0.714286,Y,Y
LP001426,1,1,0.677796,1,0,5667,2667,180,360,1,1,0.563636,Y,Y
LP002281,1,1,0,1,0,3033,1459,95,360,1,0,0.714286,Y,Y
LP001473,1,0,0,1,0,2014,1929,74,360,1,0,0.714286,Y,Y
LP001504,1,0,0,1,1,6950,0,175,180,1,0,0.714286,Y,Y
LP001843,1,1,1,0,0,2661,7101,279,180,1,0,0.25,Y,Y
LP002928,1,1,0,1,0,3000,3416,56,180,1,0,0.714286,Y,Y
LP001392,0,0,1,1,1,7451,0,146.412162,360,1,0,0.714286,Y,Y
LP001606,1,1,0,1,0,3497,1964,116,360,1,1,0.563636,Y,Y
LP001207,1,1,0,0,1,2609,3449,165,180,0,1,0.869565,N,N
LP001949,1,1,2,1,0.140893,4416,1250,110,360,1,0,0.714286,Y,Y
LP002606,0,0,0,1,0,3159,0,100,360,1,0,0.714286,Y,Y
LP002494,1,0,0,1,0,6000,0,140,360,1,1,0.563636,Y,Y
LP002571,1,0,0,0,0,3691,0,110,360,1,1,0.563636,Y,Y
LP002556,1,0,0,1,0,2435,0,75,360,1,0,-0.714286,Y,N
LP001765,1,1,1,1,0,2491,2054,104,360,1,0,0.714286,Y,Y
LP002795,1,1,2,1,1,10139,0,260,360,1,0,0.714286,Y,Y
LP002138,1,1,0,1,0,2625,6250,187,360,1,1,0.563636,Y,Y
LP002403,1,0,0,1,1,10416,0,187,360,0,0,0.869565,N,N
LP002317,1,1,2,1,0,81000,0,360,360,0,1,0.869565,N,N
LP001030,1,1,2,1,0,1299,1086,17,120,1,0,0.714286,Y,Y
LP002266,1,1,2,1,0,3100,1400,113,360,1,0,0.714286,Y,Y
LP001357,1,0.651391,0.677796,1,0,3816,754,160,360,1,0,0.714286,Y,Y
LP001112,0,1,0,1,0,3667,1459,144,360,1,0,0.714286,Y,Y
LP001761,1,0,0,1,1,6400,0,200,360,1,1,0.563636,Y,Y
LP002643,1,1,2,1,0,3283,2035,148,360,1,0,0.714286,Y,Y
LP001098,1,1,0,1,0,3500,1667,114,360,1,0,0.714286,Y,Y
LP001195,1,1,0,1,0,2132,1591,96,360,1,0,0.714286,Y,Y
LP001430,0,0,0,1,0,4166,0,44,360,1,0,0.714286,Y,Y
LP002739,1,1,0,0,0,2917,536,66,360,1,1,0.5,N,N
LP001469,1,0,0,1,1,20166,0,650,480,0.842199,0,0.714286,Y,Y
LP001565,1,1,1,1,0,3089,1280,121,360,0,0,0.869565,N,N
LP002368,1,1,2,1,0,5935,0,133,360,1,0,0.714286,Y,Y
LP001002,1,0,0,1,0,5849,0,146.412162,360,1,0,0.714286,Y,Y
LP001532,1,1,2,0,0,2281,0,113,360,1,1,-0.563636,Y,N
LP002841,1,1,0,1,0,3166,2064,104,360,0,0,0.869565,N,N
LP002519,1,1,2,1,0,4691,0,100,360,1,0,0.714286,Y,Y
LP002689,1,1,2,0,0,2192,1742,45,360,1,0,0.714286,Y,Y
LP001151,0,0,0,1,0,4000,2275,144,360,1,0,0.714286,Y,Y
LP002500,1,1,2,0,0,2947,1664,70,180,0,0,0.869565,N,N
LP001264,1,1,2,0,1,3333,2166,130,360,0.842199,0,0.714286,Y,Y
LP001379,1,1,2,1,0,3800,3600,216,360,0,0,0.869565,N,N
LP001253,1,1,2,1,1,5266,1774,187,360,1,0,0.714286,Y,Y
LP001875,1,0,0,1,0,4095,3447,151,360,1,1,0.563636,Y,Y
LP001520,1,1,0,1,0,4860,830,125,360,1,0,0.714286,Y,Y
LP002357,0,0,0,0,0,2720,0,80,342,0,0,0.869565,N,N
LP002541,1,1,0,1,0,10833,0,234,360,1,0,0.714286,Y,Y
LP002717,1,1,0,1,0,1025,5500,216,360,0.842199,1,0.563636,Y,Y
LP002434,1,1,2,0,0,4652,0,110,360,1,1,0.563636,Y,Y
LP002272,1,1,2,1,0,3276,484,135,360,0.842199,0,0.714286,Y,Y
LP001029,1,0,0,1,0,1853,2840,114,360,1,1,-0.563636,Y,N
LP002974,1,1,0,1,0,3232,1950,108,360,1,1,0.563636,Y,Y
LP001945,0,0,0.677796,1,0,5417,0,143,480,0,0,0.869565,N,N
LP002723,1,0,2,1,0,3588,0,110,360,0,1,0.869565,N,N
LP001449,1,0,0,1,0,3865,1640,146.412162,360,1,1,0.563636,Y,Y
LP001213,1,1,1,1,0,4945,0,146.412162,360,0,1,0.869565,N,N
LP001666,1,0,0,1,0,8333,3750,187,360,1,1,0.563636,Y,Y
LP001259,1,1,1,1,1,1000,3022,110,360,1,0,-0.714286,Y,N
LP002429,1,1,1,1,1,3466,1210,130,360,1,1,0.563636,Y,Y
LP002110,1,1,1,1,0.140893,5250,688,160,360,1,1,0.563636,Y,Y
LP001884,0,0,1,1,0,2876,1560,90,360,1,0,0.714286,Y,Y
LP002418,1,0,2,0,0,4707,1993,148,360,1,0,0.714286,Y,Y
LP001896,1,1,2,1,0,3900,0,90,360,1,0,0.714286,Y,Y
LP002582,0,0,0,0,1,17263,0,225,360,1,0,0.714286,Y,Y
LP002347,1,1,0,1,0,3246,1417,138,360,1,0,0.714286,Y,Y
LP001123,1,1,0,1,0,2400,0,75,360,0.842199,0,0.714286,Y,Y
LP002778,1,1,2,1,1,6633,0,146.412162,360,0,1,0.869565,N,N
LP001736,1,1,0,1,0,2221,0,60,360,0,0,0.869565,N,N
